# TEMA: O LEGADO DAS CRUZADAS FINAIS, A RECONQUISTA E O CERCO DE VIENA
# DESCRIÇÃO: Análise dos eventos da Sexta, Sétima e Últimas Cruzadas (1228–1291), o avanço da Reconquista Ibérica e a contenção final do Império Otomano na Europa (1683).
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"SEXTA CRUZADA (1228-1229): Quem liderou a Sexta Cruzada, sendo um dos monarcas mais poderosos e excomungado pelo Papa Gregório IX?","Luís IX da França.","Frederico II, Imperador do Sacro Império Romano-Germânico.","Ricardo Coração de Leão.","Eduardo I da Inglaterra.",b
"SEXTA CRUZADA (1228-1229): Qual foi o principal motivo da excomunhão de Frederico II pelo Papa?","Sua derrota na Batalha de Damietta.","Seu atraso e hesitação em partir para a Cruzada, descumprindo o juramento.","Sua negociação com o Sultão Al-Kamil.","O ataque à cidade de Zara.",b
"SEXTA CRUZADA (1228-1229): Qual sultão muçulmano, com quem Frederico II tinha boas relações diplomáticas, negociou a devolução de Jerusalém aos cristãos?","Saladino.","Al-Kamil (Sultão do Egito e Damasco).","Baibars.","Nur ad-Din.",b
"SEXTA CRUZADA (1228-1229): Qual foi o método utilizado por Frederico II para recuperar Jerusalém?","Um cerco militar de longa duração.","Uma vitória esmagadora em batalha campal.","Uma negociação diplomática e um tratado de paz.","O ataque à Constantinopla.",c
"SEXTA CRUZADA (1228-1229): Qual cidade foi recuperada pelos cruzados e permaneceu sob controle cristão por cerca de 15 anos após o Tratado de Jaffa (1229)?","Constantinopla.","Edessa.","Acre.","Jerusalém.",d
"SEXTA CRUZADA (1228-1229): Qual foi a reação do Papado e dos Barões Locais (Reino Latino) à recuperação de Jerusalém por Frederico II?","Aprovação entusiástica, pois a cidade foi recuperada.","Alegria, mas repúdio à forma de conquista (negociação) e hostilidade devido à sua excomunhão.","A total subordinação a Frederico II.","O fim imediato da excomunhão.",b
"SEXTA CRUZADA (1228-1229): O que o Tratado de Jaffa de 1229 estabeleceu?","A completa aniquilação do Califado.","A devolução de Jerusalém (exceto o Monte do Templo/Esplanada das Mesquitas) e uma trégua de dez anos.","A divisão da Terra Santa em partes iguais.","O fim do Império Bizantino.",b
"SEXTA CRUZADA (1228-1229): Onde Frederico II se coroou Rei de Jerusalém, já que estava excomungado e o Patriarca recusou-se a coroá-lo?","Em Roma.","Em Acre, a capital do Reino Latino.","No Santo Sepulcro, usando suas próprias mãos.","Em Damietta.",c
"SEXTA CRUZADA (1228-1229): Qual dos seguintes condados cruzados ainda existia no século XIII, sendo um ponto de resistência após a queda de Edessa?","Condado de Edessa.","Condado de Trípoli.","Reino de Jerusalém (Acre).","Principado de Antioquia.",b
"SEXTA CRUZADA (1228-1229): Qual foi o principal legado da Sexta Cruzada?","O fracasso militar de Frederico II.","A demonstração de que a diplomacia e a negociação poderiam ter sucesso onde a guerra falhou.","O retorno de todos os europeus para casa.","A conquista do Egito.",b
"SEXTA CRUZADA (1228-1229): Por que Frederico II era considerado um monarca atípico e 'cético' pelos padrões da época?","Por ser um líder muçulmano.","Por sua abertura cultural, domínio de várias línguas (incluindo o árabe) e seu ceticismo em relação à autoridade papal.","Por ser um defensor ferrenho da supremacia papal.","Por ser um isolacionista.",b
"SEXTA CRUZADA (1228-1229): Qual evento posterior (1244) levou à perda final de Jerusalém pelos cristãos?","O ataque de Baibars.","O ataque de forças muçulmanas auxiliadas por mercenários khwarazmianos.","A Sétima Cruzada.","O ataque dos Mongóis.",b
"SEXTA CRUZADA (1228-1229): Qual era a motivação de Al-Kamil para negociar a devolução de Jerusalém com Frederico II?","O medo do poder militar de Frederico II.","A necessidade de apoio contra inimigos muçulmanos internos (guerra civil).","O desejo de converter-se ao Cristianismo.","O desejo de paz eterna com a Europa.",b
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Quem liderou a Sétima Cruzada, partindo do Chipre para o Egito em 1248, e era conhecido por sua grande piedade?","Frederico II.","Luís IX da França (São Luís).","Eduardo I da Inglaterra.","O Príncipe Boemundo.",b
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Qual foi o principal objetivo estratégico da Sétima Cruzada, seguindo o plano da Quinta Cruzada?","Reconquistar Constantinopla.","Atacar e capturar o porto egípcio de Damietta e usá-lo como moeda de troca por Jerusalém.","Negociar com o Sultão.","Invadir a Sicília.",b
"SÉTIMA CRUZADA (1248-1254) E FINAIS: O que aconteceu com o Rei Luís IX após o fracasso do ataque ao Cairo?","Ele retornou vitorioso para a França.","Ele foi derrotado e capturado, tendo que pagar um enorme resgate para ser libertado.","Ele morreu de causas naturais em Jerusalém.","Ele se tornou um sultão.",b
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Qual líder foi o principal comandante da resistência e da vitória muçulmana (Mamelucos) sobre os cruzados na Sétima Cruzada?","Saladino.","Al-Kamil.","Baibars.","Zengi.",c
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Qual foi a participação de Balduíno II (Imperador Latino) na Sétima Cruzada?","Ele liderou o ataque a Damietta.","Ele forneceu cavalaria aos cruzados.","Ele estava em Roma pedindo dinheiro para defender o Império Latino de Constantinopla, que estava falido.","Ele foi capturado junto com Luís IX.",c
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Qual figura feminina assumiu a liderança da Cruzada na negociação do resgate de Luís IX após sua captura no Egito?","A Rainha Isabel.","A Rainha Margarida da Provença (esposa de Luís IX).","Joana D'Arc.","A Imperatriz Teodora.",b
"SÉTIMA CRUZADA (1248-1254) E FINAIS: O que a Oitava Cruzada (1270) pretendia fazer, liderada novamente por Luís IX?","Atacar Edessa.","Atacar e converter o emir de Túnis (Norte da África), como ponto estratégico contra o Egito.","Defender Constantinopla.","Recuperar o porto de Acre.",b
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Qual foi o destino de Luís IX durante a Oitava Cruzada em Túnis?","Ele venceu a batalha e retornou à França.","Ele foi derrotado em batalha por Baibars.","Ele morreu de disenteria (doença) em Túnis.","Ele foi feito prisioneiro novamente.",c
"SÉTIMA CRUZADA (1248-1254) E FINAIS: O que foi a Nona Cruzada (1271-1272)?","Uma grande mobilização de exércitos.","Uma expedição menor, liderada pelo Príncipe Eduardo da Inglaterra (futuro Eduardo I), sendo a última tentativa de resgate da Terra Santa.","O ataque dos Mongóis.","O último Concílio do Papado.",b
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Qual fortaleza cristã, a última do Reino Latino, caiu para os Mamelucos em 1291, marcando o fim da presença cruzada na Terra Santa?","Tiro.","Trípoli.","Antioquia.","Acre.",d
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Quem foi o sultão mameluco que capturou Acre em 1291, pondo fim ao Reino Latino?","Saladino.","Al-Kamil.","Al-Ashraf Khalil.","Nur ad-Din.",c
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Qual foi a principal razão para o fracasso das Cruzadas nos séculos XIII?","A falta de líderes corajosos.","A desorganização, a rivalidade constante entre os líderes ocidentais e o crescente poder muçulmano unificado.","O ataque do Império Bizantino.","O apoio total do Papa.",b
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Qual foi o principal legado de São Luís (Luís IX) para o ideal cruzado?","O fim das Cruzadas.","Ele personificou o ideal cruzado de piedade e sacrifício, sendo canonizado pela Igreja Católica.","Ele foi o primeiro líder a atacar Constantinopla.","Ele negociou a paz com o Islã.",b
"SÉTIMA CRUZADA (1248-1254) E FINAIS: Qual foi o foco estratégico das últimas Cruzadas (Séculos XIII), que se desviou do assalto direto a Jerusalém?","A guerra contra a Espanha.","O ataque ao Egito e ao Norte da África, vistos como a chave para desestabilizar o poder muçulmano.","A conversão da China.","A reconquista de Constantinopla.",b
"RECONQUISTA IBÉRICA: O que foi a Reconquista da Península Ibérica?","O domínio muçulmano sobre a Espanha.","O longo período (séculos VIII a XV) de guerras e expansão dos reinos cristãos do norte contra o domínio muçulmano (Al-Andalus).","A unificação da Espanha sob a França.","A guerra entre Portugal e Espanha.",b
"RECONQUISTA IBÉRICA: Qual evento, no século VIII, é tradicionalmente visto como o marco inicial da Reconquista?","A queda de Granada em 1492.","A Batalha de Covadonga (722 d.C.) e o estabelecimento do Reino das Astúrias.","A coroação de Carlos Magno.","A invasão árabe de 711 d.C.",b
"RECONQUISTA IBÉRICA: Por qual período de tempo se estendeu a Reconquista Ibérica?","Aproximadamente 100 anos.","Aproximadamente 300 anos.","Aproximadamente 700 anos (do século VIII ao século XV).","Aproximadamente 1000 anos.",c
"RECONQUISTA IBÉRICA: Qual era a principal motivação da Reconquista Ibérica, além da expansão territorial?","O desejo de abolir a escravidão.","O ideal militar-religioso de recuperar os territórios perdidos para o Islã e restaurar a ordem cristã.","O apoio ao Império Bizantino.","A busca por especiarias.",b
"RECONQUISTA IBÉRICA: Qual era o nome dado ao domínio muçulmano na Península Ibérica?","Al-Fatah.","Al-Andalus.","Magrebe.","Sultanato de Rūm.",b
"RECONQUISTA IBÉRICA: Qual foi o papel das Ordens Militares (como Santiago, Calatrava e Alcântara) na Reconquista?","Eram grupos de poetas e filósofos.","Eram Ordens religiosas de monges-guerreiros que desempenharam um papel crucial na defesa das fronteiras e na expansão territorial.","Eram mercenários contratados pelo Islã.","Eram responsáveis apenas pela administração de terras.",b
"RECONQUISTA IBÉRICA: Qual evento de 1492 marcou o fim da Reconquista?","A unificação de Portugal e Espanha.","A conquista do último reino muçulmano (Granada) pelos Reis Católicos.","A descoberta da América por Cristóvão Colombo.","O início da Inquisição Espanhola.",b
"RECONQUISTA IBÉRICA: Qual foi a principal consequência da Reconquista para a Coroa de Castela e Aragão (Espanha)?","A perda de todo o território para o Islã.","A criação de um Estado fortemente centralizado, militarizado e unido sob a fé católica.","A dissolução da monarquia.","O fim da Inquisição.",b
"RECONQUISTA IBÉRICA: Qual a importância do Tratado de Tordesilhas no contexto final da Reconquista?","Não tem relação com a Reconquista.","Foi um acordo que sucedeu a Reconquista, dividindo as novas terras descobertas (como o Brasil) entre as coroas ibéricas.","Foi o marco inicial da Reconquista.","Foi o tratado que entregou Granada ao Islã.",b
"RECONQUISTA IBÉRICA: Qual foi a reação da monarquia espanhola em relação aos judeus e muçulmanos não-convertidos logo após o fim da Reconquista em 1492?","Tolerância religiosa total.","Obrigação de conversão ou expulsão (Decreto de Alhambra).","Concessão de grandes privilégios.","O fim da Inquisição Espanhola.",b
"CERCO DE VIENA (1683): O Cerco de Viena se encaixa no contexto de qual grande potência expansionista que ameaçava a Europa Oriental?","O Império Mongol.","O Império Bizantino.","O Império Otomano (Turco).","O Império Russo.",c
"CERCO DE VIENA (1683): Qual era o principal objetivo do Cerco de Viena de 1683 para os Otomanos?","Conquistar a Itália.","Capturar a capital do Sacro Império Romano-Germânico e abrir o caminho para a Europa Ocidental.","Defender Constantinopla.","Converter a população ao Cristianismo.",b
"CERCO DE VIENA (1683): Qual foi o líder das forças otomanas no Cerco de 1683?","Solimão, o Magnífico.","Kara Mustafa Paxá.","Mehmed II.","Selim II.",b
"CERCO DE VIENA (1683): Qual foi o líder cristão que comandou as forças de alívio e cuja cavalaria (Hussardos Poloneses) foi decisiva na vitória?","O Imperador Leopoldo I.","O Príncipe Eugênio de Saboia.","O Rei João III Sobieski da Polônia.","O Duque Carlos V de Lorena.",c
"CERCO DE VIENA (1683): Qual foi o principal papel da cavalaria polonesa (Hussardos) na Batalha de Kahlenberg?","A defesa passiva do acampamento.","A negociação de um tratado de paz.","O ataque decisivo e avassalador que quebrou as linhas otomanas.","A conquista de Túnis.",c
"CERCO DE VIENA (1683): Qual a importância histórica do Cerco de Viena de 1683?","Foi o marco inicial da expansão otomana na Europa.","Foi o ponto de virada, marcando o fim da expansão militar otomana na Europa e o início de seu lento declínio.","Foi a última grande Cruzada.","Foi a conquista da Terra Santa.",b
"CERCO DE VIENA (1683): Qual foi o principal fator que permitiu a vitória da Liga Santa (forças cristãs)?","O apoio do Papa Inocêncio XI.","A desunião dos líderes otomanos.","A liderança de Sobieski e a rápida mobilização das forças de alívio.","A intervenção do Império Bizantino.",c
"CERCO DE VIENA (1683): O que o Imperador Leopoldo I (do Sacro Império) fez antes da chegada das forças de alívio?","Ele rendeu a cidade aos Otomanos.","Ele fugiu de Viena, deixando a defesa da cidade a cargo do Duque Carlos V de Lorena.","Ele liderou o ataque final.","Ele se converteu ao Islã.",b
"CERCO DE VIENA (1683): Qual dos seguintes conflitos é anterior ao Cerco de 1683 e também foi uma tentativa otomana de capturar a cidade?","O Primeiro Cerco de Viena (1529).","A Batalha de Manzikert.","A Guerra do Peloponeso.","A Terceira Cruzada.",a
"CERCO DE VIENA (1683): Qual foi o resultado imediato do fracasso do Cerco para o Império Otomano?","A coroação de Kara Mustafa Paxá.","A execução de Kara Mustafa Paxá e uma série de derrotas subsequentes para as forças europeias.","A conquista da Península Ibérica.","A união da Igreja Católica e Ortodoxa.",b